INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE2573', 'PART6693', 'MAINT9865', TO_TIMESTAMP('2024-09-02 21:57:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '2', 'STF8879');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE8738', 'PART9146', 'MAINT4336', TO_TIMESTAMP('2024-05-16 16:59:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '5', 'STF0799');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE3860', 'PART7760', 'MAINT8168', TO_TIMESTAMP('2024-08-18 17:44:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '2', 'STF8719');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE4587', 'PART1284', 'MAINT5965', TO_TIMESTAMP('2024-02-29 09:31:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '4', 'STF2444');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE4387', 'PART8028', 'MAINT8488', TO_TIMESTAMP('2023-01-28 14:36:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '5', 'STF8101');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE4387', 'PART8028', 'MAINT7398', TO_TIMESTAMP('2023-12-23 18:55:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '1', 'STF6913');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE9487', 'PART6178', 'MAINT5362', TO_TIMESTAMP('2024-10-20 08:28:00', 'YYYY-MM-DD HH24:MI:SS'), 'Pending', NULL, 'STF3507');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE8738', 'PART9261', 'MAINT8001', TO_TIMESTAMP('2024-07-17 05:16:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '2', 'STF8719');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE7734', 'PART5742', 'MAINT5090', TO_TIMESTAMP('2023-10-08 14:16:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '2', 'STF4958');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE5009', 'PART0876', 'MAINT9838', TO_TIMESTAMP('2024-04-12 22:05:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '1', 'STF1990');
INSERT INTO AirplaneMaintenance (AirplaneID, PartID, MaintenanceID, AirplaneMaintenanceDate, AirplaneMaintenanceStatus, PartQty, StaffID) VALUES ('PLANE5414', 'PART6693', 'MAINT9865', TO_TIMESTAMP('2024-09-08 03:47:00', 'YYYY-MM-DD HH24:MI:SS'), 'Completed', '5', 'STF3971');
