INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA001', 'STF8101', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA001', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA001', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA001', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA001', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA001', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA002', 'STF8719', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA002', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA002', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA002', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA002', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA002', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA002', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA003', 'STF2444', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA003', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA003', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA003', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA003', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA003', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA004', 'STF8101', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA004', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA004', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA004', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA004', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA004', 'STF4873', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA004', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA005', 'STF8719', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA005', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA005', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA005', 'STF3741', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA005', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA006', 'STF2444', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA006', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA006', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA006', 'STF3971', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA006', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA007', 'STF4958', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA007', 'STF3507', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA007', 'STF0799', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA007', 'STF2303', 'Ground Crew');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA008', 'STF4958', 'Pilot');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA008', 'STF7714', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA008', 'STF6913', 'Flight Attendant');
INSERT INTO FlightStaff (FlightID, StaffID, Role) VALUES ('FLA008', 'STF0799', 'Flight Attendant');
