INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('210115-PYM-349', 97.50, 'CreditCard', 'Refunded', TO_TIMESTAMP('2021-01-15 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '210115-BKG-293884', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('210208-PYM-277', 378.00, 'CreditCard', 'Refunded', TO_TIMESTAMP('2021-02-08 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '210208-BKG-574112', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('210312-PYM-379', 281.76, 'CreditCard', 'Refunded', TO_TIMESTAMP('2021-03-12 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '210312-BKG-394811', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('210420-PYM-206', 455.25, 'CreditCard', 'Refunded', TO_TIMESTAMP('2021-04-20 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '210420-BKG-674832', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('210525-PYM-934', 3234.00, 'CreditCard', 'Refunded', TO_TIMESTAMP('2021-05-25 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '210525-BKG-982316', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('210610-PYM-371', 161.45, 'CreditCard', 'Refunded', TO_TIMESTAMP('2021-06-10 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '210610-BKG-447382', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('210713-PYM-725', 264.14, 'CreditCard', 'Refunded', TO_TIMESTAMP('2021-07-13 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '210713-BKG-935462', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('210819-PYM-891', 2941.36, 'CreditCard', 'Completed', TO_TIMESTAMP('2021-08-19 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '210819-BKG-283091', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('221125-PYM-165', 3206.82, 'CreditCard', 'Refunded', TO_TIMESTAMP('2022-11-25 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '221125-BKG-547632', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('221210-PYM-898', 2535.00, 'CreditCard', 'Refunded', TO_TIMESTAMP('2022-12-10 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '221210-BKG-923761', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230115-PYM-347', 4443.75, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-01-15 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230115-BKG-421968', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230220-PYM-335', 2399.45, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-02-20 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230220-BKG-847239', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240107-PYM-214', 5575.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-01-07 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240107-BKG-472938', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240218-PYM-362', 3150.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-02-18 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240218-BKG-294837', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('210930-PYM-921', 288.27, 'CreditCard', 'Completed', TO_TIMESTAMP('2021-09-30 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '210930-BKG-827163', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('211011-PYM-471', 1305.82, 'CreditCard', 'Completed', TO_TIMESTAMP('2021-10-11 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '211011-BKG-198742', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('211123-PYM-449', 361.64, 'CreditCard', 'Refunded', TO_TIMESTAMP('2021-11-23 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '211123-BKG-591746', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('211212-PYM-423', 1428.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2021-12-12 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '211212-BKG-876342', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('220103-PYM-851', 423.50, 'CreditCard', 'Completed', TO_TIMESTAMP('2022-01-03 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '220103-BKG-456731', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('220214-PYM-549', 346.56, 'CreditCard', 'Refunded', TO_TIMESTAMP('2022-02-14 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '220214-BKG-123896', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('220329-PYM-179', 407.29, 'CreditCard', 'Completed', TO_TIMESTAMP('2022-03-29 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '220329-BKG-274385', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230325-PYM-168', 470.64, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-03-25 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230325-BKG-987543', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('240225-PYM-652', 3200.00, 'CreditCard', 'Completed', TO_TIMESTAMP('2024-02-25 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '240225-BKG-948326', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230315-PYM-435', 315.78, 'CreditCard', 'Refunded', TO_TIMESTAMP('2023-03-15 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230315-BKG-523476', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230228-PYM-909', 814.91, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-02-28 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230228-BKG-173926', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230612-PYM-153', 347.73, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-06-12 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230612-BKG-817362', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230706-PYM-105', 507.17, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-07-06 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230706-BKG-837102', NULL);
INSERT INTO Payment (PaymentID, PaymentAmount, PaymentMethod, PaymentStatus, PaymentDate, BookingID, PurchaseID) VALUES ('230813-PYM-649', 975.71, 'CreditCard', 'Completed', TO_TIMESTAMP('2023-08-13 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), '230813-BKG-293571', NULL);
