-- Record 1
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210105-PCH-001', 'ITM9617', 2);

-- Record 2
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210105-PCH-002', 'ITM9634', 3);

-- Record 3
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220315-PCH-003', 'ITM0000', 1);

-- Record 4
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210212-PCH-004', 'ITM5007', 1);

-- Record 5
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210212-PCH-005', 'ITM9634', 2);

-- Record 6
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230701-PCH-006', 'ITM9617', 1);

-- Record 7
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210508-PCH-007', 'ITM8285', 2);

-- Record 8
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20210909-PCH-008', 'ITM0258', 3);

-- Record 9
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20251101-PCH-009', 'ITM9634', 1);

-- Record 10
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20211115-PCH-010', 'ITM1140', 2);

-- Record 11
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220810-PCH-011', 'ITM0000', 2);

-- Record 12
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20230301-PCH-012', 'ITM3249', 1);

-- Record 13
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20220315-PCH-013', 'ITM6901', 1);

-- Record 14
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20221115-PCH-014', 'ITM2857', 3);

-- Record 15
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20231005-PCH-015', 'ITM7969', 2);

-- Record 16
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20231005-PCH-016', 'ITM9634', 2);

-- Record 17
INSERT INTO PurchaseItem (PurchaseID, ItemID, PurchaseItemQty) VALUES ('20221010-PCH-017', 'ITM9617', 1);

-- Record 18
