INSERT INTO Ticket (TicketID, SeatNumber, ClassID, TicketStatus, BookingID, PassengerID, InsuranceID, FlightID, TicketPrice) VALUES ('210115-TKT-001', '1A', 'CLS0001', 'Cancelled', '210115-BKG-293884', 'PSG001', 'ISR862', 'FLA002', '97.5');
INSERT INTO Ticket (TicketID, SeatNumber, ClassID, TicketStatus, BookingID, PassengerID, InsuranceID, FlightID, TicketPrice) VALUES ('210208-TKT-002', '2B', 'CLS0002', 'Cancelled', '210208-BKG-574112', 'PSG002', 'ISR777', 'FLA015', '378');
INSERT INTO Ticket (TicketID, SeatNumber, ClassID, TicketStatus, BookingID, PassengerID, InsuranceID, FlightID, TicketPrice) VALUES ('210312-TKT-003', '3C', 'CLS0003', 'Cancelled', '210312-BKG-394811', 'PSG003', 'ISR114', 'FLA034', '281.76');
INSERT INTO Ticket (TicketID, SeatNumber, ClassID, TicketStatus, BookingID, PassengerID, InsuranceID, FlightID, TicketPrice) VALUES ('210420-TKT-004', '4D', 'CLS0004', 'Cancelled', '210420-BKG-674832', 'PSG004', 'ISR254', 'FLA005', '455.25');
INSERT INTO Ticket (TicketID, SeatNumber, ClassID, TicketStatus, BookingID, PassengerID, InsuranceID, FlightID, TicketPrice) VALUES ('210525-TKT-005', '5A', 'CLS0005', 'Cancelled', '210525-BKG-982316', 'PSG005', 'ISR560', 'FLA031', '1617');
INSERT INTO Ticket (TicketID, SeatNumber, ClassID, TicketStatus, BookingID, PassengerID, InsuranceID, FlightID, TicketPrice) VALUES ('210525-TKT-006', '5B', 'CLS0005', 'Checked-In', '210525-BKG-982316', 'PSG006', 'ISR573', 'FLA031', '1617');
INSERT INTO Ticket (TicketID, SeatNumber, ClassID, TicketStatus, BookingID, PassengerID, InsuranceID, FlightID, TicketPrice) VALUES ('210610-TKT-007', '6A', 'CLS0006', 'Cancelled', '210610-BKG-447382', 'PSG007', 'ISR093', 'FLA006', '161.45');
INSERT INTO Ticket (TicketID, SeatNumber, ClassID, TicketStatus, BookingID, PassengerID, InsuranceID, FlightID, TicketPrice) VALUES ('210713-TKT-008', '7B', 'CLS0007', 'Cancelled', '210713-BKG-935462', 'PSG008', 'ISR450', 'FLA009', '264.14');
INSERT INTO Ticket (TicketID, SeatNumber, ClassID, TicketStatus, BookingID, PassengerID, InsuranceID, FlightID, TicketPrice) VALUES ('210819-TKT-009', '8A', 'CLS0008', 'Checked-In', '210819-BKG-283091', 'PSG009', 'ISR769', 'FLA020', '1288.64');
INSERT INTO Ticket (TicketID, SeatNumber, ClassID, TicketStatus, BookingID, PassengerID, InsuranceID, FlightID, TicketPrice) VALUES ('210819-TKT-010', '8B', 'CLS0009', 'Checked-In', '210819-BKG-283091', 'PSG010', 'ISR195', 'FLA020', '1336.36');
INSERT INTO Ticket (TicketID, SeatNumber, ClassID, TicketStatus, BookingID, PassengerID, InsuranceID, FlightID, TicketPrice) VALUES ('221125-TKT-011', '9A', 'CLS0010', 'Cancelled', '221125-BKG-547632', 'PSG011', 'ISR086', 'FLA050', '2801.14');
INSERT INTO Ticket (TicketID, SeatNumber, ClassID, TicketStatus, BookingID, PassengerID, InsuranceID, FlightID, TicketPrice) VALUES ('221210-TKT-012', '10A', 'CLS0011', 'Pending', '221210-BKG-923761', 'PSG012', 'ISR747', 'FLA051', '585');
INSERT INTO Ticket (TicketID, SeatNumber, ClassID, TicketStatus, BookingID, PassengerID, InsuranceID, FlightID, TicketPrice) VALUES ('230115-TKT-013', '11C', 'CLS0012', 'Pending', '230115-BKG-421968', 'PSG013', 'ISR738', 'FLA062', '3371.25');
INSERT INTO Ticket (TicketID, SeatNumber, ClassID, TicketStatus, BookingID, PassengerID, InsuranceID, FlightID, TicketPrice) VALUES ('230220-TKT-014', '12D', 'CLS0013', 'Pending', '230220-BKG-847239', 'PSG014', 'ISR590', 'FLA075', '2173.09');
INSERT INTO Ticket (TicketID, SeatNumber, ClassID, TicketStatus, BookingID, PassengerID, InsuranceID, FlightID, TicketPrice) VALUES ('240107-TKT-015', '13A', 'CLS0014', 'Pending', '240107-BKG-472938', 'PSG015', 'ISR489', 'FLA085', '3400');
INSERT INTO Ticket (TicketID, SeatNumber, ClassID, TicketStatus, BookingID, PassengerID, InsuranceID, FlightID, TicketPrice) VALUES ('240218-TKT-016', '14B', 'CLS0015', 'Pending', '240218-BKG-294837', 'PSG016', 'ISR867', 'FLA095', '3150');
INSERT INTO Ticket (TicketID, SeatNumber, ClassID, TicketStatus, BookingID, PassengerID, InsuranceID, FlightID, TicketPrice) VALUES ('210819-TKT-017', '14C', 'CLS0010', 'Checked-In', '210819-BKG-283091', 'PSG017', 'ISR254', 'FLA012', '316.36');
INSERT INTO Ticket (TicketID, SeatNumber, ClassID, TicketStatus, BookingID, PassengerID, InsuranceID, FlightID, TicketPrice) VALUES ('210930-TKT-018', '15D', 'CLS0009', 'Checked-In', '210930-BKG-827163', 'PSG018', 'ISR573', 'FLA011', '288.27');
INSERT INTO Ticket (TicketID, SeatNumber, ClassID, TicketStatus, BookingID, PassengerID, InsuranceID, FlightID, TicketPrice) VALUES ('211011-TKT-019', '16A', 'CLS0008', 'Checked-In', '211011-BKG-198742', 'PSG019', 'ISR777', 'FLA020', '1305.82');
